"d [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainLHCP) []","dB(RealizedGainRHCP) []"
1.727,0.413,-180,318,-7.84676352743842,-20.8900327764917
1.727,0.413,-180,319,-7.65284636837921,-21.1467834971652
1.727,0.413,-180,320,-7.4607827627904,-21.413555750729
1.727,0.413,-180,321,-7.27081873725938,-21.6907761073775
1.727,0.413,-180,322,-7.08318832665523,-21.9789031231583
1.727,0.413,-180,323,-6.89811354128233,-22.278430600561
1.727,0.413,-180,324,-6.71580444521391,-22.5898913015952
1.727,0.413,-180,325,-6.53645932819341,-22.9138611944197
1.727,0.413,-180,326,-6.36026495473493,-23.2509643313463
1.727,0.413,-180,327,-6.18739687545999,-23.6018784767258
1.727,0.413,-180,328,-6.01801978719414,-23.9673416288551
1.727,0.413,-180,329,-5.8522879298549,-24.3481596119485
1.727,0.413,-180,330,-5.69034550964099,-24.7452149540889
1.727,0.413,-180,331,-5.53232713944747,-25.1594773171015
1.727,0.413,-180,332,-5.37835828875754,-25.5920158072348
1.727,0.413,-180,333,-5.22855573648218,-26.0440135749287
1.727,0.413,-180,334,-5.08302802132683,-26.5167852121524
1.727,0.413,-180,335,-4.94187588525514,-27.0117975821317
1.727,0.413,-180,336,-4.80519270649592,-27.5306948748321
1.727,0.413,-180,337,-4.67306491930493,-28.0753288785977
1.727,0.413,-180,338,-4.54557241835497,-28.6477956985754
1.727,0.413,-180,339,-4.42278894619255,-29.2504804350342
1.727,0.413,-180,340,-4.30478246267804,-29.8861116433808
1.727,0.413,-180,341,-4.19161549572544,-30.5578276806724
1.727,0.413,-180,342,-4.08334547298751,-31.2692571673024
1.727,0.413,-180,343,-3.98002503440078,-32.0246154416059
1.727,0.413,-180,344,-3.88170232571981,-32.8288173374946
1.727,0.413,-180,345,-3.78842127333941,-33.6876022366065
1.727,0.413,-180,346,-3.70022184083288,-34.6076564266842
1.727,0.413,-180,347,-3.61714026773121,-35.5966918287572
1.727,0.413,-180,348,-3.53920929113605,-36.6633793763183
1.727,0.413,-180,349,-3.46645835080452,-37.8168934197507
1.727,0.413,-180,350,-3.39891377836938,-39.0654925429486
1.727,0.413,-180,351,-3.33659897136799,-40.4128025968749
1.727,0.413,-180,352,-3.27953455275101,-41.8488392288961
1.727,0.413,-180,353,-3.22773851652835,-43.3300766625276
1.727,0.413,-180,354,-3.1812263601893,-44.7425163655709
1.727,0.413,-180,355,-3.14001120450677,-45.8634109125337
1.727,0.413,-180,356,-3.1041039013039,-46.4096999302198
1.727,0.413,-180,357,-3.07351312972637,-46.2525435899695
1.727,0.413,-180,358,-3.04824548152679,-45.555987297601
1.727,0.413,-180,359,-3.02830553582878,-44.6037342773975
1.727,0.413,-180,360,-3.01369592379912,-43.6023278636898
